"global.unique.identifier","last.edited.date","taxonomic.order","category","taxon.concept.id","common.name","scientific.name","subspecies.common.name","subspecies.scientific.name","exotic.code","observation.count","breeding.code","breeding.category","behavior.code","age.sex","country","country.code","state","state.code","county","county.code","iba.code","bcr.code","usfws.code","atlas.block","locality","locality.id","locality.type","observation.date","time.observations.started","observer.id","sampling.event.identifier","protocol.type","protocol.code","project.code","duration.minutes","effort.distance.km","effort.area.ha","number.observers","all.species.reported","group.identifier","has.media","approved","reviewed","reason","trip.comments","species.comments","longitude","latitude","listing.status"
"URN:CornellLabOfOrnithology:EBIRD:OBS471057594","2023-09-20 10:53:01.042628",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","2005-09-15","","obsr855284","S34844805","Incidental","P20","EBIRD",NA,NA,NA,1,0,"",0,1,0,NA,"","/SS",-68.2733291,44.3385984,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS159779885","2012-08-05 05:51:19",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"","Ship Island","L1640752","P","2012-05-19","07:00:00","obsr236162","S11235794","Traveling","P22","EBIRD",60,1.609,NA,2,1,"",0,1,0,NA,"","",-68.4407627,44.2339331,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS159028789","2012-08-15 20:54:59",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3377",NA,NA,"","Little Duck Island","L1628444","P","2012-07-16","10:30:00","obsr235246","S11177531","Traveling","P22","EBIRD",840,1.609,NA,3,1,"",0,1,0,NA,"","",-68.2452701,44.1712762,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS220481511","2022-06-26 09:45:19.427411",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"","Ship Island","L2208663","P","2013-06-20","14:00:00","obsr413099","S15897730","Stationary","P21","EBIRD",120,NA,NA,1,0,"",0,1,1,NA,"","",-68.4411335,44.2341305,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS465536787","2022-06-26 09:45:19.427411",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"","Ship Island","L5434606","P","2016-06-12","07:30:00","obsr416292","S34350739","Traveling","P22","EBIRD",40,1.127,NA,1,1,"",0,1,1,NA,"morning island survey","single bird mixed with the colony, distinguished by vocals and bill color.",-68.4403181,44.2340076,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS652593786","2018-08-31 11:02:22",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"4","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Sand Beach","L486275","H","2018-08-29","18:30:00","obsr627731","S48168203","Traveling","P22","EBIRD",15,0.016,NA,2,1,"G3429784",0,1,0,NA,"","long wings, distinctive call.",-68.1822252,44.3292206,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS652852759","2018-08-31 11:02:22",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"4","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Sand Beach","L486275","H","2018-08-29","18:30:00","obsr1043706","S48188539","Traveling","P22","EBIRD",15,0.016,NA,2,1,"G3429784",0,1,0,NA,"","long wings, distinctive call.",-68.1822252,44.3292206,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS929620131","2023-09-22 07:58:27.688062",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"5","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"","Ship Island (restricted access)","L11450199","H","2020-05-22","05:25:00","obsr508253","S69508305","Traveling","P22","EBIRD",470,8.851,NA,1,1,"",0,1,0,NA,"","*flybys in the morning. Ph.",-68.4402775,44.234261,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS938676539","2023-09-22 07:58:27.688062",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-06-06","10:13:00","obsr576362","S70129612","Stationary","P21","EBIRD_ATL_ME",122,NA,NA,1,1,"",0,1,1,NA,"","Photos will be provided. Late migrant. Breeding plumage.",-68.4402775,44.234261,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS939009449","2023-09-22 07:58:27.688062",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-06-05","12:00:00","obsr576362","S70101197","Stationary","P21","EBIRD_ATL_ME",60,NA,NA,1,1,"",0,1,1,NA,"","Seen quickly flying by. Identity was confirmed the followed day.",-68.4402775,44.234261,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS939481967","2023-09-22 07:58:27.688062",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-06-07","10:05:00","obsr576362","S70187274","Stationary","P21","EBIRD_ATL_ME",70,NA,NA,1,1,"",0,1,1,NA,"","Continuing for 3rd day",-68.4402775,44.234261,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS939483897","2023-09-22 07:58:27.688062",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-06-07","13:30:00","obsr576362","S70187392","Stationary","P21","EBIRD_ATL_ME",50,NA,NA,1,1,"",0,1,1,NA,"","Continuing for 3rd day",-68.4402775,44.234261,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS948940251","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"2","H ","C2","H ","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-06-27","15:50:00","obsr576362","S70893530","Traveling","P22","EBIRD_ATL_ME",58,0.241,NA,1,1,"",0,1,1,NA,"","",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS952692750","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-06-30","07:30:00","obsr508253","S71187008","Traveling","P22","EBIRD_ATL_ME",470,4.828,NA,1,1,"",0,1,1,NA,"","",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS949076319","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"3","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-06-27","06:15:00","obsr508253","S70903882","Traveling","P22","EBIRD_ATL_ME",470,6.92,NA,1,1,"",0,1,1,NA,"","*Uncommon; spent the day in the colony.",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS948798260","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"1","H ","C2","H ","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-06-27","12:55:00","obsr576362","S70882323","Stationary","P21","EBIRD_ATL_ME",76,NA,NA,1,1,"",0,1,1,NA,"","",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS948610050","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"2","H ","C2","H ","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-06-27","08:02:00","obsr576362","S70868762","Traveling","P22","EBIRD_ATL_ME",21,0.483,NA,1,1,"",0,1,1,NA,"","",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS955547786","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-07-04","07:00:00","obsr508253","S71415602","Traveling","P22","EBIRD_ATL_ME",470,5.15,NA,1,1,"",0,1,1,NA,"","",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS950746963","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"1","H ","C2","H ","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-07-01","09:00:00","obsr576362","S71036077","Incidental","P20","EBIRD_ATL_ME",NA,NA,NA,1,0,"",0,1,1,NA,"","",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS952705232","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-07-03","06:30:00","obsr508253","S71187870","Traveling","P22","EBIRD_ATL_ME",470,6.437,NA,1,1,"",0,1,1,NA,"","",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS955026929","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-07-11","21:25:00","obsr508253","S71374299","Incidental","P20","EBIRD_ATL_ME",NA,NA,NA,1,0,"",0,1,1,NA,"","",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS952701982","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-07-01","16:54:00","obsr508253","S71187648","Traveling","P22","EBIRD_ATL_ME",470,4.828,NA,1,1,"",0,1,1,NA,"","",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS956479571","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-07-05","07:20:00","obsr508253","S71503615","Traveling","P22","EBIRD_ATL_ME",470,6.437,NA,1,1,"",0,1,1,NA,"","",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS953126255","2023-09-22 07:58:27.688062",6699,"species","avibase-74236837","Roseate Tern","Sterna dougallii","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3409",NA,NA,"44068B4NW","Ship Island (restricted access)","L11450199","H","2020-07-06","07:10:00","obsr508253","S71221765","Traveling","P22","EBIRD_ATL_ME",470,8.369,NA,1,1,"",0,1,1,NA,"Beautiful day! - 64°F | cloudy be shifting to clear at 10AM | calm","",-68.4402775,44.234261,"federally endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS1242318836","2022-10-23 19:44:26.206641",6130,"species","avibase-B5CE8FAD","Red Knot","Calidris canutus","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Little Moose Island","L2578701","P","2021-09-18","11:35:00","obsr101607","S95035211","Traveling","P22","EBIRD",119,4.238,NA,1,1,"",0,1,0,NA,"This is a list of birds from my three-day zero-carbon birding adventure, bicycling from my Town Hill home to the Schoodic Section of Acadia National Park. For this report, I walked around Little Moose Island. Temperature upper-60s F, clear, light winds.","",-68.0511618,44.3360968,"federally threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS416166458","2023-09-20 11:01:58.637622",7373,"species","avibase-6BB94D7E","Black-crowned Night Heron","Nycticorax nycticorax","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Otter Cove, Fish House Road","L3951706","H","1963-07-08","","obsr537700","S30547925","Historical","P62","EBIRD",NA,NA,NA,3,1,"",0,1,0,NA,"","",-68.1976211,44.3158344,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS1344176127","2024-05-03 10:15:34.78488",6672,"species","avibase-BDC5CF80","Arctic Tern","Sterna paradisaea","","",NA,"4","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","1967-07-25","09:00:00","obsr419506","S102808718","Traveling","P22","EBIRD",60,2,NA,1,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS895014067","2023-09-20 10:53:01.042628",6672,"species","avibase-BDC5CF80","Arctic Tern","Sterna paradisaea","","",NA,"2","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","1969-08-04","","obsr882835","S67188653","Historical","P62","EBIRD",NA,NA,NA,2,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS895014100","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","1969-08-04","","obsr882835","S67188653","Historical","P62","EBIRD",NA,NA,NA,2,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS299287825","2021-03-19 06:45:06.768684",6672,"species","avibase-BDC5CF80","Arctic Tern","Sterna paradisaea","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Schoodic Point","L865421","H","1971-07-04","","obsr373365","S22049027","Historical","P62","EBIRD",NA,NA,NA,1,1,"",0,1,0,NA,"Species marked with an ""X"" were common.","It had a noticeably longer tail than the Common Terns, a grayer belly, and more buoyant flight.  I thought the bill was pure red but wasn't sure.",-68.0603456,44.3324746,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS989884078","2024-05-03 01:58:14.699971",6672,"species","avibase-BDC5CF80","Arctic Tern","Sterna paradisaea","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","1973-07-26","","obsr394691","S74328226","Historical","P62","EBIRD",NA,NA,NA,4,1,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS811895174","2019-10-02 01:30:32",6672,"species","avibase-BDC5CF80","Arctic Tern","Sterna paradisaea","","",NA,"20","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Schoodic Peninsula","L476611","H","1973-07-13","07:00:00","obsr52135","S60277542","Historical","P62","EBIRD",NA,NA,NA,2,0,"",0,1,0,NA,"We did a quick drive-thru here in the morning before splitting for Portland.  Start time est. and no effort data.  A couple hours at most as I recall, and I'm not sure this is a complete list.  I think it's the only time I've ever birded here.","",-68.0582428,44.3403019,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS1822582997","2023-09-20 10:53:01.042628",11875,"species","avibase-47E58408","Peregrine Falcon","Falco peregrinus","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP (please use more specific location if possible)","L340581","H","1975-08-20","","obsr358370","S149439395","Historical","P62","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"","",-68.2733291,44.3385984,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS715633763","2019-11-20 11:47:37",6672,"species","avibase-BDC5CF80","Arctic Tern","Sterna paradisaea","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Seawall Picnic Area","L159047","H","1976-08-07","","obsr319662","S53144987","Historical","P62","EBIRD",NA,NA,NA,NA,1,"",0,1,0,NA,"","",-68.3025,44.2373,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS737959244","2019-04-13 13:08:21",6672,"species","avibase-BDC5CF80","Arctic Tern","Sterna paradisaea","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Seawall Road","L4450378","H","1976-08-09","","obsr319662","S54904940","Historical","P62","EBIRD",NA,NA,NA,NA,1,"",0,1,0,NA,"","",-68.310071,44.2389369,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS715638350","2024-05-31 08:21:22.60591",6372,"species","avibase-64F4DD81","Razorbill","Alca torda","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","US-ME_3408",NA,NA,"","Frenchman Bay—Egg Rock","L1018954","H","1976-08-12","","obsr319662","S53145377","Historical","P62","EBIRD",NA,NA,NA,NA,1,"",0,1,0,NA,"","",-68.139267,44.3527006,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS163583847","2012-09-13 14:37:06",7373,"species","avibase-6BB94D7E","Black-crowned Night Heron","Nycticorax nycticorax","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP","L1744913","P","1977-06-06","07:30:00","obsr26970","S11573739","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",0,1,0,NA,"These are the birds seen for which I didn't record a location.","",-68.2250984,44.3414301,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS178461146","2023-09-20 10:58:54.345865",707,"species","avibase-9456DEDF","Barrow's Goldeneye","Bucephala islandica","","",NA,"1","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Acadia NP--Cadillac Mountain","L159030","H","1978-02-24","12:45:00","obsr227449","S12743299","Traveling","P22","EBIRD",180,5.472,NA,2,1,"",0,1,0,NA,"","",-68.2260418,44.3534831,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS144429604","2023-10-29 15:39:59.524556",687,"species","avibase-BCBD2EAE","Harlequin Duck","Histrionicus histrionicus","","",NA,"2","","","","Female, Unknown Age (2)","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","MDI - General","L1063241","P","1979-01-05","09:00:00","obsr197345","S10169664","Traveling","P22","EBIRD",360,38.624,NA,1,1,"",0,1,0,NA,"Birds seen on MDI.  Sadly, I did not identify specific localities.","two females, noted as unusual.",-68.321228,44.3233568,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS144534984","2023-09-18 20:35:16.436473",687,"species","avibase-BCBD2EAE","Harlequin Duck","Histrionicus histrionicus","","",NA,"149","","","","","United States","US","Maine","US-ME","Knox","US-ME-013","",NA,NA,"","Isle au Haut--South Shore","L1400869","H","1979-03-18","09:00:00","obsr197345","S10177602","Traveling","P22","EBIRD",300,43.452,NA,6,0,"",0,1,1,NA,"Penobscot Valley Chapter trip around Isle au Haut.  It was an excellent trip with good seas and we were able to circumnavigate the island.","This was the largest count to date for harlequin Ducks off Isle au Haut.",-68.6400468,44.0166405,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS146749759","2023-09-18 20:35:16.436473",687,"species","avibase-BCBD2EAE","Harlequin Duck","Histrionicus histrionicus","","",NA,"70","","","","","United States","US","Maine","US-ME","Knox","US-ME-013","",NA,NA,"","Isle au Haut--South Shore","L1400869","H","1980-03-09","09:00:00","obsr197345","S10332982","Traveling","P22","EBIRD",360,48.28,NA,15,1,"",0,1,1,NA,"The Penobscot Valley Audubon Chapter took a boat trip around Isle au Haut looking for Harlequin Ducks.  This list includes all the birds seen during the trip.  The boat didn't go into one cove at the south end of Isle au Haut, an area known to support Harlequins.","70+, we didn't go into cove at south end of outer side of Isle au Haut.",-68.6400468,44.0166405,"state threatened"
"URN:CornellLabOfOrnithology:EBIRD:OBS582500582","2018-02-26 15:07:12",6664,"species","avibase-115AF02D","Black Tern","Chlidonias niger","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",14,NA,"","Mount Desert Island","L6991913","P","1980-07-17","","obsr1035742","S43213560","Incidental","P20","EBIRD",NA,NA,NA,NA,0,"",0,1,0,NA,"","",-68.186781,44.32454,"state endangered"
"URN:CornellLabOfOrnithology:EBIRD:OBS182930389","2021-04-01 06:49:52.016996",707,"species","avibase-9456DEDF","Barrow's Goldeneye","Bucephala islandica","","",NA,"X","","","","","United States","US","Maine","US-ME","Hancock","US-ME-009","",NA,NA,"","Acadia NP--Schoodic Peninsula","L476611","H","1981-02-14","08:00:00","obsr58986","S13152272","Traveling","P22","EBIRD",360,9.656,NA,3,1,"",0,1,0,NA,"","Lifebird - in surf with Common goldeneyes",-68.0582428,44.3403019,"state threatened"
